Validation_Set,Topics,Alpha,Beta,Coherence_(c_v),Coherence_(u_mass)
75% Corpus,20,0.01,0.31,0.46139930567849763,0.46139930567849763
75% Corpus,20,0.01,0.61,0.4444228063526233,0.4444228063526233
75% Corpus,20,0.01,0.9099999999999999,0.4293923481289495,0.4293923481289495
75% Corpus,20,0.01,symmetric,0.5439823793878176,0.5439823793878176
75% Corpus,20,0.31,0.01,0.6406467996773552,0.6406467996773552
75% Corpus,20,0.31,0.31,0.586316749789239,0.586316749789239
75% Corpus,20,0.31,0.61,0.5242089828861204,0.5242089828861204
75% Corpus,20,0.31,0.9099999999999999,0.5078430242270235,0.5078430242270235
75% Corpus,20,0.31,symmetric,0.6297573058757129,0.6297573058757129
75% Corpus,20,0.61,0.01,0.6693903202202716,0.6693903202202716
75% Corpus,20,0.61,0.31,0.45974834350368826,0.45974834350368826
75% Corpus,20,0.61,0.61,0.6864657220951359,0.6864657220951359
75% Corpus,20,0.61,0.9099999999999999,0.7059653188931913,0.7059653188931913
75% Corpus,20,0.61,symmetric,0.6381546425311956,0.6381546425311956
75% Corpus,20,0.9099999999999999,0.01,0.7401410353986668,0.7401410353986668
75% Corpus,20,0.9099999999999999,0.31,0.6844928634350749,0.6844928634350749
75% Corpus,20,0.9099999999999999,0.61,0.7072753368991379,0.7072753368991379
75% Corpus,20,0.9099999999999999,0.9099999999999999,0.7078002427367769,0.7078002427367769
75% Corpus,20,0.9099999999999999,symmetric,0.7025605453466846,0.7025605453466846
75% Corpus,20,symmetric,0.01,0.45323068715888715,0.45323068715888715
75% Corpus,20,symmetric,0.31,0.414698411325283,0.414698411325283
75% Corpus,20,symmetric,0.61,0.42077428409763107,0.42077428409763107
75% Corpus,20,symmetric,0.9099999999999999,0.4156406071124209,0.4156406071124209
75% Corpus,20,symmetric,symmetric,0.4369121496119154,0.4369121496119154
75% Corpus,20,asymmetric,0.01,0.43400990626395836,0.43400990626395836
75% Corpus,20,asymmetric,0.31,0.40574045533024555,0.40574045533024555
75% Corpus,20,asymmetric,0.61,0.40718548906862695,0.40718548906862695
75% Corpus,20,asymmetric,0.9099999999999999,0.4027527835471765,0.4027527835471765
75% Corpus,20,asymmetric,symmetric,0.4236006407278109,0.4236006407278109
75% Corpus,21,0.01,0.01,0.5652658401564505,0.5652658401564505
75% Corpus,21,0.01,0.31,0.4241391307246521,0.4241391307246521
75% Corpus,21,0.01,0.61,0.41638347402957365,0.41638347402957365
75% Corpus,21,0.01,0.9099999999999999,0.4009993302020943,0.4009993302020943
75% Corpus,21,0.01,symmetric,0.5074095020984254,0.5074095020984254
75% Corpus,21,0.31,0.01,0.6135654913726375,0.6135654913726375
75% Corpus,21,0.31,0.31,0.5497181849967342,0.5497181849967342
75% Corpus,21,0.31,0.61,0.4996008048580179,0.4996008048580179
75% Corpus,21,0.31,0.9099999999999999,0.4858093605505123,0.4858093605505123
75% Corpus,21,0.31,symmetric,0.6076342543402631,0.6076342543402631
75% Corpus,21,0.61,0.01,0.6936112394255248,0.6936112394255248
75% Corpus,21,0.61,0.31,0.42721475392478936,0.42721475392478936
75% Corpus,21,0.61,0.61,0.692350452391735,0.692350452391735
75% Corpus,21,0.61,0.9099999999999999,0.7056931535490119,0.7056931535490119
75% Corpus,21,0.61,symmetric,0.6256116444655495,0.6256116444655495
75% Corpus,21,0.9099999999999999,0.01,0.7419892608318296,0.7419892608318296
75% Corpus,21,0.9099999999999999,0.31,0.692806088040287,0.692806088040287
75% Corpus,21,0.9099999999999999,0.61,0.7079633685866241,0.7079633685866241
75% Corpus,21,0.9099999999999999,0.9099999999999999,0.707512139891573,0.707512139891573
75% Corpus,21,0.9099999999999999,symmetric,0.7110488237184486,0.7110488237184486
75% Corpus,21,symmetric,0.01,0.4380446413375389,0.4380446413375389
75% Corpus,21,symmetric,0.31,0.3990549535953359,0.3990549535953359
75% Corpus,21,symmetric,0.61,0.3845319855228724,0.3845319855228724
75% Corpus,21,symmetric,0.9099999999999999,0.385902934912863,0.385902934912863
75% Corpus,21,symmetric,symmetric,0.41109655966078357,0.41109655966078357
75% Corpus,21,asymmetric,0.01,0.4258225639268725,0.4258225639268725
75% Corpus,21,asymmetric,0.31,0.4006698812914361,0.4006698812914361
75% Corpus,21,asymmetric,0.61,0.3995641762942448,0.3995641762942448
